uuid,company,description,categories,location,revenue,num_of_employees,linkedin,website,status
fb1e0239-94df-a94c-56d9-28956a629ed9,VMware,VMware is a software company providing cloud and virtualization services that powers complex digital infrastructure.,"Cloud Infrastructure,Cloud Management,Enterprise Software,Information Technology","Palo Alto,California,United States,North America",$1B to $10B,10001+,http://www.linkedin.com/company/vmware,https://www.vmware.com,active
5eb2a07d-72ad-1130-0ae0-321088467635,Verint Systems,Verint Systems provides Actionable Intelligence solutions for enterprise workforce optimization and security intelligence.,"Cyber Security,Information Technology,Security,Software","Melville,New York,United States,North America",$100M to $500M,1001-5000,http://www.linkedin.com/company/verint,http://verint.com,active
c6fa02de-72c1-d977-27c3-d818236d08a8,VastCon,VastCon Inc. is a biotech company developing early screening and diagnostics for cancer.,Biotechnology,"Winnipeg,Manitoba,Canada,North America",Less than $1M,1-10,NA,http://vastcon.com/,active
c4d961d7-5e96-4b8b-8228-e6f2053a1567,Exela,Exela Technologies is one of the largest global providers of transaction processing solutions.,"Accounting,Business Intelligence,Finance,Software","Irving,Texas,United States,North America",$500M to $1B,10001+,https://www.linkedin.com/company/exela-technologies/,https://www.exelatech.com/,active
076499c5-cbd8-4d78-9306-1d64de459d80,Shape Technology Management,"Shape Technology Management offers IT infrastructure, security, application development, business intelligence, and IT consulting services.","Business Intelligence,Consulting,Enterprise Resource Planning (ERP),Information Technology,IT Infrastructure,Mobile Apps","Bedfordview,NA - South Africa,South Africa,Africa",NA,11-50,https://www.linkedin.com/company/shape-technology-management-pty-ltd,https://shapetm.co.za,active
79c46ed0-ed51-22ba-7abc-98478bd6d506,RetailNext,"RetailNext enables retailers and manufacturers to collect, analyze, and visualize data about in-store customer engagement.","Analytics,Big Data,Data Visualization,Retail","San Jose,California,United States,North America",$10M to $50M,101-250,https://www.linkedin.com/company/retailnext,http://www.retailnext.net,active
65b89e23-7e23-4d8e-a996-29c2a396cd5f,RadarFit,Fitness and health game app for people to transform health and body,"Apps,Health Care,Information Technology","Belo Horizonte,Minas Gerais,Brazil,South America",NA,11-50,https://www.linkedin.com/company/24985258/admi,https://en.radarfit.com.br,active
b602271d-941b-c1e9-9a30-884ee4c87606,Madison Strategic Partners Group,Longevity Linked Investor and Alternative Asset Manager,"Asset Management,Financial Services,Insurance,Life Insurance","New York,New York,United States,North America",$1M to $10M,11-50,NA,http://www.madisonpartnersny.com,active
b04e604c-9f34-4912-bc0c-272041459367,OPEX Corporation,"Manufactures workflow improvement solutions for warehouse automation, document imaging, and mail opening and sorting.","Industrial Automation,Information Technology,Manufacturing,Robotics,Software","Moorestown,New Jersey,United States,North America",$50M to $100M,1001-5000,https://www.linkedin.com/company/opex-corporation,https://www.opex.com,active
e4587167-d47a-4d18-ba5d-9b04f54b609a,Compufast Software,"Compufast is a software corporation that provides HR, payroll, time attendance and online resources to clients.","Computer,Software","Dublin,Dublin,Ireland,Europe",NA,11-50,NA,https://perfast.com/,active
8694317f-065f-67a9-5002-a1add5eda776,PYT Funds Inc - Pay Your Tuition,Pay Your Tuition is a lending tree and kickstarter merges to help finance college tuition.,"Education,Finance,Financial Services","Washington,District of Columbia,United States,North America",Less than $1M,1-10,https://www.linkedin.com/company/pyt-funds-inc,http://www.gopyt.com/,active
ebd268b0-4b0a-337e-372c-aa177e96982d,Kelley Blue Book,Kelley Blue Book provides The Trusted ResourceÂ® which provides vehicle buyers and sellers with information on new and used-vehicles.,Automotive,"Irvine,California,United States,North America",NA,251-500,http://www.linkedin.com/company/kelley-blue-book,http://www.kbb.com,active
49683afc-49dd-4eb7-b6dd-b21fb04da50e,JSM,JSM is a full-service direct marketing communications company.,"Advertising,Information Technology,Marketing,Telecommunications","Kutztown,Pennsylvania,United States,North America",$10M to $50M,11-50,https://www.linkedin.com/company/jsmsi/,http://jetsonmarketing.com/,active
8b77b552-30da-7755-6b67-87bcc3ae327a,IWCO Direct,IWCO Direct is a company offering direct marketing provider for clients.,"Advertising,Printing","Chanhassen,Minnesota,United States,North America",$500M to $1B,1001-5000,https://www.linkedin.com/company/iwco-direct,http://www.iwco.com,active
